id,applied_at,platform,job_type,company,title,url,rate,status,replied_at,meeting_at,closed_at,note
1,,fukugyo-cloud,short-video,株式会社Four Aces,歴史解説YouTube編集（外注体制・再委託1段階OK）,,"15,000円/本〜",won,2026-07-21,2026-07-27,2026-08-03,基本契約書兼NDA署名済(8/3)。ただし『テスト案件に関する秘密保持契約書』が未署名（8/3・8/10・8/17にリマインダー）。応募日は未記録
2,,wantedly,short-video,KURO HOLDINGS株式会社,インテリアEC「territory」Instagramリール制作,https://www.wantedly.com/projects/2394832,週3日〜,won,2026-07-26,2026-07-31,2026-08-03,業務委託基本契約書をクラウドサインで締結完了(8/3)。応募日は未記録
3,,fukugyo-cloud,short-video,株式会社ZIK,観光領域ショート動画,,1.5〜2万円/本（品質OKで3〜4万）,meeting,2026-07-23,2026-07-30,,条件承諾済み。契約書の締結記録は未確認。応募日は未記録
4,,fukugyo-cloud,sns,ナイル株式会社,Nyle X Partners／SNSマーケター,,"時給3,000〜5,000円・月60時間",meeting,2026-07-17,2026-08-14,,登録通過。規約同意・ブラインドレジュメ提出・LINE WORKS登録まで完了(8/17)。案件紹介待ち。応募日は未記録
5,,fukugyo-cloud,ad,デジマル合同会社,SNS広告運用とショート動画施策を担う広告運用マーケター,,月額固定30〜60万円・月80時間,meeting,2026-07-29,2026-08-14,,面談録画とGeminiメモがDriveにあり。以降のやりとりなし。応募日は未記録
6,,fukugyo-cloud,photo,株式会社grament,社長のビジネスポートレート撮影（単発・都内屋内）,,"5,000〜10,000円/納品",meeting,2026-07-27,2026-08-14,,面談2回(7/30・8/14)。都内撮影のため交通費が論点。8/15に最終メッセージ、以降停止。応募日は未記録
7,,,short-video,株式会社SaaTsu,IT資格YouTubeの企画・撮影・編集,,,meeting,2026-07-27,2026-08-01,,一次面談のみ。都内近郊での撮影頻度が論点。流入媒体が未確認（要記録）。応募日は未記録
8,,fukugyo-cloud,sns,MODE-1PARTNERS株式会社,,,,meeting,2026-07-20,2026-07-28,,30分面談を実施。以降の記録なし。応募日は未記録
9,,fukugyo-cloud,ad,株式会社LeaguE,ECコンサル案件,,月80時間,lost,2026-07-23,2026-08-03,2026-08-07,『契約を見送り』の連絡(8/7)。応募日は未記録
10,,wantedly,photo,株式会社アンドストーリー,写真で記事に彩りを添えるカメラマン（クリエイター登録審査）,,,lost,2026-08-12,2026-08-13,2026-08-19,不採用連絡(8/19)。応募日は未記録
